city,number
new_taipei,50
taipei,148
taoyuan,25
taichung,41
tainan,30
kaohsiung,28
ilan,5
hsinchu,5
miaoli,4
changhua,6
nantou,4
yunlin,4
chiayi,2
pingtung,4
taitung,1
hualien,2
penghu,1
keelung,3
hsinchu_city,14
chiayi_city,5
